"tipo_elem";distrito;id;id_cruce;"localizaci";num;"fecha_inst";utm_x;utm_y;longitud;latitud
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;11296;4824;"AV. JUAN ANTONIO SAMARANCH";;"2025-04-10 00:00:00";447984.847828427;4481976.484921169;-3.61374339121417;40.48685464101263
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;11291;4824;"AV. JUAN ANTONIO SAMARANCH";;"2025-04-10 00:00:00";447992.528217664;4481966.244402187;-3.61365193255174;40.48676287022921
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;11293;4824;"AV. JUAN ANTONIO SAMARANCH";;"2025-04-10 00:00:00";448001.804531937;4481964.448986522;-3.61354233717692;40.48674727725882
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;11303;4825;"AV. JUAN ANTONIO SAMARANCH";49;"2025-04-10 00:00:00";448039.441764041;4482071.691824111;-3.61310705979392;40.48771573362299
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;11310;4825;"AV. JUAN ANTONIO SAMARANCH";;"2025-04-10 00:00:00";448078.392309456;4482143.458578086;-3.61265336802202;40.48836468327632
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;11302;4825;"AV. JUAN ANTONIO SAMARANCH";;"2025-04-10 00:00:00";448061.834587205;4482055.134101861;-3.61284149389182;40.48756797428068
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;11313;4825;"AV. JUAN ANTONIO SAMARANCH";;"2025-04-10 00:00:00";448112.156098504;4482116.32785247;-3.61225276985066;40.48812238658006
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;11309;4825;"AV. JUAN ANTONIO SAMARANCH";;"2025-04-10 00:00:00";448071.759246024;4482147.248900047;-3.61273194170808;40.48839841358056
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;11308;4825;"AV. JUAN ANTONIO SAMARANCH";;"2025-04-10 00:00:00";448096.047230169;4482127.998054296;-3.61244379250165;40.48822651083506
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;11301;4825;"AV. JUAN ANTONIO SAMARANCH";;"2025-04-10 00:00:00";448065.425418537;4482050.495944724;-3.6127987463377;40.48752641597726
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;11314;4825;"AV. JUAN ANTONIO SAMARANCH";;"2025-04-10 00:00:00";448108.764757802;4482118.871357996;-3.6122929921885;40.48814508782944
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;11315;4825;"MARIA REICHE";14;"2025-04-10 00:00:00";448038.793419495;4482117.375178275;-3.61311845467892;40.48812723263561
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;11300;4825;"AV. JUAN ANTONIO SAMARANCH";;"2025-04-10 00:00:00";448050.413748665;4482063.861816903;-3.61297696145904;40.48764588349694
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;11299;4825;"AV. JUAN ANTONIO SAMARANCH";;"2025-04-10 00:00:00";448057.844774615;4482055.782446407;-3.61288862203872;40.48757356527736
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;11316;4825;"MARIA REICHE";7;"2025-04-10 00:00:00";448043.581194604;4482130.691177795;-3.61306305577019;40.48824748980412
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;11317;4825;"MARIA REICHE";15;"2025-04-10 00:00:00";448109.313357033;4482087.252093215;-3.61228393063816;40.48786027917482
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;11318;4825;"MARIA REICHE";20;"2025-04-10 00:00:00";448095.149522336;4482071.093352224;-3.6124497244138;40.48771382726949
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;11306;4825;"AV. JUAN ANTONIO SAMARANCH";49;"2025-04-10 00:00:00";448030.215322425;4482078.524378174;-3.61321648122793;40.48777670729777
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;11307;4825;"AV. JUAN ANTONIO SAMARANCH";;"2025-04-10 00:00:00";448087.319515127;4482136.626024023;-3.61254747679425;40.48830369036495
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;11305;4825;"AV. JUAN ANTONIO SAMARANCH";49;"2025-04-10 00:00:00";448024.430094169;4482082.763554052;-3.6132850878333;40.48781453382048
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;11312;4825;"AV. JUAN ANTONIO SAMARANCH";;"2025-04-10 00:00:00";448097.194301289;4482127.299837094;-3.61243020112412;40.48822029264797
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;11304;4825;"AV. JUAN ANTONIO SAMARANCH";49;"2025-04-10 00:00:00";448049.067186916;4482064.659779421;-3.61299291469885;40.48765298769477
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;11311;4825;"AV. JUAN ANTONIO SAMARANCH";;"2025-04-10 00:00:00";448107.517941367;4482122.362444012;-3.61230798908685;40.48817645942634
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;11324;4826;"AV. JUAN ANTONIO SAMARANCH";;"2025-04-10 00:00:00";448162.145125419;4482217.303359443;-3.61167121289151;40.48903515008293
