distrito;id;"descripcion";"fecha_inst";utm_x;utm_y;longitud;latitud
8;1854;"MONASTERIO EL ESCORIAL - MONASTERIO LIEBANA";"15/11/2004";441088.415530696;4484307.650831935;-3.69532801799465;40.5073938855591
8;1856;"MONASTERIO EL ESCORIAL - MONASTERIO SOBRADO";"15/11/2004";441249.579431303;4484556.033802424;-3.69344899471281;40.50964283490325
8;2164;"MONASTERIO DE SILOS - AV. SANTUARIO DE VALVERDE";"14/05/2013";439930.127502328;4483903.089566825;-3.70895982532661;40.50366640424698
8;2167;"MONASTERIO SUSO Y YUSO - MONASTERIO DE LAS HUELGAS";"27/08/2013";440098.983107644;4483768.921157809;-3.70695440344644;40.50246997901818
8;2169;"AFUERAS VALVERDE - CAMPO CALATRAVA P.P.";"27/08/2013";441183.614615949;4483487.810990227;-3.6941283319181;40.5000152333367
8;2188;"AV. SANTUARIO VALVERDE - MONASTERIO DE  LAS HUELGAS";"15/04/2014";440124.610299442;4484117.433405126;-3.70668492161423;40.50561134175096
8;2027;"MONASTERIO SILOS 73 - P.P.";"17/09/2007";441135.211635707;4484189.553911208;-3.69476474803341;40.50633334930883
8;2026;"MONASTERIO ESCORIAL 73 - P.P.";"17/09/2007";441048.488635165;4484243.664028253;-3.69579328138327;40.50681463401522
8;2025;"SANTUARIO VALVERDE 68 - P.P.";"17/09/2007";440942.43446964;4484311.632112565;-3.69705126945747;40.50741937076557
8;1977;"MONASTERIO PAULAR - MONASTERIO SUSO YUSO";"07/11/2006";440650.489262133;4483727.750542018;-3.70044210987092;40.50213873218991
8;2053;"MONASTERIO ESCORIAL - CTRA. PARDO";"09/07/2008";439529.899490374;4483865.603458401;-3.71367949161825;40.50329964425841
8;2191;"TRES OLIVOS - P.P.";"01/09/2014";441033.369045657;4483586.230551005;-3.69591051033677;40.50089116858999
8;2203;"AV. SANTUARIO VALVERDE - MONASTERIO ARLANZA";"27/11/2014";441218.364010223;4484737.824362221;-3.69383429273023;40.51127825532554
8;2230;"AV. MONASTERIO ESCORIAL, 6 - P.P.";"17/11/2015";439796.163025553;4484016.126027973;-3.71055153820453;40.50467496308101
8;2240;"COSTA BRAVA - MONASTERIO HUELGAS";"07/03/2016";439963.55922992;4483335.727516896;-3.70851150752721;40.49855783949042
8;2264;"MONASTERIO ESCORIAL - MONASTERIO BATUECAS";"22/02/2017";440295.730579415;4483977.953994867;-3.7046522538238;40.5043671972991
8;4540;"MONASTERIO SILOS - MONASTERIO PAULAR";"25/10/2018";440645.894390826;4483849.747830126;-3.70050776749017;40.5032373969392
8;4544;"MONASTERIO SUSO Y YUSO - MONASTERIO MONTESCLAROS";"08/11/2018";440455.335404722;4483740.856980924;-3.70274638098001;40.50224281741301
8;4562;"MONASTEIRIO DE SILOS - MONASTERIO BATUECAS";"06/06/2019";440288.090751845;4483873.291896688;-3.70473254743894;40.50342381645425
8;4563;"MONASTERIO HUELGAS - MONASTERIO PAULAR";"28/06/2019";440086.811285515;4483636.654070442;-3.70708553391298;40.50127759441218
8;4821;"AV. MONASTERIO DE SILOS - MONASTERIO DE POYO";"27-11-2024";441257.104295173;4484376.82669118;-3.69334355622754;40.50802900794504
8;1823;"CNO. DE SANTIAGO - SAN MILLAN DE LA COGOLLA";"02/08/2004";443005.290105623;4484152.828913663;-3.67269089381851;40.50613310010959
