"tipo_elem";distrito;id;id_cruce;"fecha_inst";utm_x;utm_y;longitud;latitud
"other";10;49526;1442;"2021-12-23 00:00:00";435096.969669941;4471113.27476137;-3.76469042160276;40.3880878990159
"other";10;49527;1442;"2021-12-23 00:00:00";435101.837930387;4471108.677243036;-3.76463259998651;40.38804686202899
"other";10;49528;1442;"1995-12-21 00:00:00";435102.662465901;4471109.612512098;-3.76462298138205;40.38805535153345
"other";12;49530;1203;"1990-06-11 00:00:00";439228.954604376;4469494.701822286;-3.7158565553393;40.37381865208475
"other";12;49531;1203;"1990-06-11 00:00:00";439262.300995804;4469493.486645325;-3.71546366256688;40.37381013584285
"other";10;49535;1383;"2021-12-02 00:00:00";434982.089545359;4471241.35657874;-3.76605690324793;40.3892327517966
"other";10;49536;1383;"1993-12-01 00:00:00";434996.66980494;4471224.946194504;-3.76588345492891;40.38908605853337
"other";10;49538;1383;"1993-12-01 00:00:00";434981.119622604;4471240.607577687;-3.76606825369166;40.38922592880165
"other";10;49540;757;"1977-10-18 00:00:00";437739.581784898;4472357.752713046;-3.73367918764395;40.39950040561475
"other";10;49543;1669;"2015-05-18 00:00:00";434092.468874341;4470146.08247847;-3.77642442454619;40.37929620365428
"other";10;49545;1442;"2021-12-23 00:00:00";435141.433537897;4471064.01428496;-3.76416157495213;40.38764760415173
"other";15;49547;2151;"2012-12-26 00:00:00";444194.883883878;4475147.798970665;-3.65785940759542;40.42509234139109
